text,label
used DLL sideloading to launch their malware,T1574.002
"The malicious DLL “gtn.dll”, which we named as “ShellFang”, loads when a legitimate executable is launched.",T1574.002
including API hashing and execution flow obfuscation through exception mechanism,T1027
Windows APIs are obfuscated via a hashing function and dynamically resolved in the run-time.,T1027
Necessary APIs will be dynamically resolved during execution.,T1027
"API obfuscation, and execution flow obfuscation",T1027
abusing exception mechanisms to obfuscate the execution flow of programs and Windows API hashing.,T1027
the final payload is an HTTPs Cobalt Strike beacon.,T1071.001
by creating immediate tasks through GPO.,T1484.001
abused group policy objects (GPO) to install loaders,T1484.001
Propagation through GPO,T1484.001
they will submit immediate tasks to the hosts in the domain through GPO,T1484.001
As the hosts receive the task through GPO,T1484.001
"usually compile all necessary libraries in a single binary, making malware classification more difficult for analysts and resulting in a large binary",T1027
"Once the victim opens the document,",T1204.002
injecting the shellcode into rundll32.exe,T1055
Shellcode which is used for code injection,T1055
proxy,T1090
create scheduled tasks for persistence.,T1053.005
to create a ImmediateTask,T1053.005
Windows API,T1106
Windows APIs,T1106
backdoor is a basic remote she will,T1059.003
C:\Windows\System32\cmd.exe /c,T1059.003
forcing its component SmadAVprotect32.exe to side-load their malicious DLL.,T1574.002
the malware starts a function called bypassSMADAV,T1106
with the API function IsWindowVisible.,T1106
by IsWindowVisible function,T1106
calling the RegisterClass function prior to calling CreateWindow.,T1106
"Before a call to CreateWindowEx, you would usually first need to create a class by calling RegisterClass and then class CreateWindowEx.",T1106
the malware creates 2 scheduled tasks,T1053.005
schtasks /Create /TN test /SC MINUTE /MO 15 /TR,T1053.005
"the malware creates a scheduled task to execute its copy from this randomized path: schtasks /Create /TN 8NaZrCq3pGeDRXKF /SC MINUTE /MO 15 /TR ""explorer.exe c:\users\public\8NaZrCq3pGeDRXKF.zip\8NaZr.exe"" /f",T1053.005
"The final payload returned is a lightweight PowerShell backdoor,",T1105
It then picks one random C&C URL out of the three available and constructs a GET request,T1071.001
sends them back to the server in POST request:,T1071.001
After the validation of the JSON and Base64 decoding,T1140
used by various actors to disable endpoint protection tools.,T1562.001
techniques like process hollowing where the process is created in suspend mode and then replaced with malicious code.,T1055
The current system username,T1033
The current username home folder,T1033
"The system’s network interfaces (name, MacAddress, description)",T1082
was deployed using DLL side-loading,T1574.002
"due to DLL side-loading, the loader/injector winutils.dll is loaded into memory and runs in the context",T1574.002
abused to side-load,T1574.002
Packed Rorschach loader and injector,T1027
the initial loader/injector winutils.dll is protected with UPX-style packing,T1027
"After unpacking, the sample loads",T1027
decrypted and injected,T1140
and decrypts config,T1140
"injected into notepad.exe, where the ransomware logic begins.",T1055
is injected into notepad.exe,T1055
"Disable the Windows firewall, using netsh.exe",T1562.001
"When executed on a Windows Domain Controller (DC), the ransomware automatically creates a Group Policy, spreading itself to other machines within the domain.",T1484.001
creates a group policy,T1484.001
creates another group policy,T1484.001
creates another group policy,T1484.001
deletes them from the original location.,T1070.004
creating a schedule task,T1053.005
"that registers a scheduled task which runs immediately and upon user logon,",T1053.005
"finds the relevant syscall numbers for NT APIs,",T1106
with the syscall instruction,T1106
the malware first creates a syscall table for NT APIs,T1106
Creation of syscall table for certain NT APIs.,T1106
It makes direct system calls using the “syscall” instruction.,T1106
Example use of direct syscall.,T1106
It uses GetSystemDefaultUILanguage and GetUserDefaultUILanguage to,T1106
The WinAPI CryptGenRandom is utilized,T1106
"is implemented via NtSetInformationFile using FileInformationClass FileRenameInformation,",T1106
Command Line Arguments,T1059.003
the list of processes,T1057
code is protected and obfuscated,T1027
This obfuscated process,T1027
"reusing multiple code chunks from DEP-allowed memory pages, called ROP gadgets.",T1055
"ROP-based attacks execute “RET” instructions without a prior “CALL” instruction, the running thread’s stack and the shadow stack values mismatch",T1055
"call other vfgadgets that are responsible for executing specific operations, like Argument LoadersInvokers and Collectors.",T1055
"Collectors are gadgets that retrieve a value already present in a register, and save it back into the attacker’s counterfeit object",T1055
leaked the stack pointer and retrieved the this pointer as a static offset from the stack.,T1055
"vfgadget address,",T1055
prepare the address of the Windows API we want to invoke along with its arguments.,T1106
the Windows API address and its arguments.,T1106
"invoke any API we like,",T1106
"began sending spam emails, mailing new malicious attachments to continue spreading.",T1566.001
discover commands using the Windows utilities systeminfo,T1082
systeminfo,T1082
systeminfo,T1082
ipconfig,T1016
ipconfig /all,T1016
ipconfig /all,T1016
"Remote access tools were used for command and control, such as Tactical RMM and Anydesk.",T1219
"the threat actors deployed Tactical RMM, a remote management agent, for additional access and persistence in the environment.",T1219
the threat actor accessed the environment using Tactical RMM to deploy Anydesk on the compromised host.,T1219
the threat actors proceeded to deploy several remote management tools across the environment.,T1219
Tactical RMM is a remote management software platform that uses a combination of agents to allow for remote management and access to systems.,T1219
"the threat actors added AnyDesk to the same server running Tactical RMM, providing an additional means of access prior to the deployment of ransomware.",T1219
used by the threat actor for the remote management of Tactical RMM Agent.,T1219
Using this RMM agent they proceeded to install AnyDesk on the host.,T1219
Tactical RMM Agent was installed by the threat actor on a server to ensure remote access,T1219
"The intrusion began when a user double clicked a LNK file, which then executed encoded Powershell commands",T1204.002
"The Powershell script, when double clicked (executed),",T1204.002
they also used tasklist,T1057
"Next, they proceeded to transfer a beacon executable over SMB to the remote host’s ProgramData directory.",T1570
"The threat actors, however, proceeded along a more traditional path, using SMB file transfers and remote services to move laterally across domain controllers and several other servers",T1570
rasomware deployment to all hosts over SMB.,T1570
files transferred via SMB as SYSTEM on remote hosts.,T1570
an executable Cobalt Strike beacon was copied via SMB to a target machine,T1570
This beacon was then successfully executed via WMI,T1047
then executed via WMI.,T1047
wmic,T1047
setup a Registry Run Key to maintain persistence on the beachhead host.,T1547.001
established persistence via a run key.,T1547.001
commands to download an Emotet DLL onto the computer.,T1105
the threat actors dropped Powertool64.exe and dontsleep.exe in preparation for their final actions.,T1105
the threat actors then dropped SoftPerfect’s Network Scanner,T1105
dropped and executed on the server,T1105
"Windows net commands were run,",T1059.003
threat actors proceeded to run the net commands,T1059.003
"the threat actors conducted further discovery tasks running find.bat and p.bat,",T1059.003
and a batch file 1.bat were dropped on the host and the batch file was executed,T1059.003
two batch files were run.,T1059.003
The first find.bat was used to run,T1059.003
C:\Windows\System32\cmd.exe /c,T1059.003
cmd.exe /c start,T1059.003
the threat actor executed a batch script,T1059.003
They then proceeded to dump credentials from the LSASS process on the host.,T1003.001
the ‘mimikatz’ string in the Netlogon event that is used by the Mimikatz Zerologon implementation.,T1003.001
"Process access to LSASS was observed, likely to dump credentials",T1003.001
The Granted Access level matches know indicators for Mimikatz,T1003.001
"request access level of 0x0040 (64) to LSASS, as well indicating other credential access tools may have been in use by the threat actor.",T1003.001
With some further process injection,T1055
The threat actor was observed process injecting into legitimate process,T1055
from a process that was injected with Cobalt Strike.,T1055
Injected Process Name,T1055
the processes used for injection,T1055
"The specific mechanism used to inject into a foreign process, was injecting arbitrary code into its memory space, and executing it as a remotely created thread",T1055
from an injected process,T1055
A flight of netlogon authentications were observed from the beachhead host to the domain controller as a possible attempt at exploiting the domain controller.,T1078
"After choosing a new server and connecting via RDP,",T1021.001
"From there, the threat actors began connecting to other hosts via RDP, including the a backup server.",T1021.001
did RDP to a few other servers,T1021.001
traces of RDP (Remote Desktop Protocol) connections were discovered on multiple compromised hosts utilized for lateral movement,T1021.001
They started by connecting to a new server via RDP,T1021.001
"Once establishing the RDP connection, they deployed Powertool64.exe,",T1021.001
The threat actor kept the remote desktop session alive,T1021.001
to execute encoded scripts.,T1027
The script will decode itself,T1140
The decoded base 64 content,T1140
is a Base64 encoded script with various components split into different variables for obfuscation purposes.,T1027
A service was also created for the agent.,T1543.003
service was installed in the system,T1543.003
svcService Type: user mode serviceService Start Type: auto startService Account: LocalSystem,T1543.003
a separate service was created for that agent.,T1543.003
service was installed in the system,T1543.003
service was installed in the system,T1543.003
--serviceService Type: user mode serviceService Start Type: auto startService Account: LocalSystem,T1543.003
Service Type: user mode serviceService Start Type: auto startService Account: LocalSystem,T1543.003
The threat actor was observed creating remote services,T1543.003
"This occurred from rundll32.exe, which was previously used to execute and run Cobalt Strike.",T1218.011
"C:\Windows\System32\cmd.exe /c rundll32.exe C:\ProgramData\x86.dll, StartA",T1218.011
delete its process file,T1070.004
delete the driver files.,T1070.004
removing files from the system.,T1070.004
The threat actor was observed deleting files that had been dropped to disk,T1027
whoami /groups,T1033
The threat actor was observed creating remote services in order to execute beacon DLL files,T1569.002
the threat actors began to review sensitive documents,T1005
Both HTTP and HTTPS were observed to be used.,T1071.001
Infected email attachments,T1566.001
"obtaining relevant device data, such as OS version and architecture, hardware ID, CPU, RAM, screen resolution, system language, etc.",T1082
"collects information, primarily system information",T1082
can take away system,T1082
exfiltrate files and extract data from specific applications.,T1005
"acquire browsing histories, Internet cookies, usernames/passwords, personally identifiable details, credit card numbers, and other highly sensitive information from browsers.",T1005
target stored browser data,T1005
collects sensitive information from the victim’s machine,T1005
"collects cookie information, search histories, and key inputs from browsers",T1005
collect inside of the “Web Data” SQLite file,T1005
sensitive data from the victim’s machine.,T1005
"usernames/passwords,",T1078
include saved credentials,T1078
run under the name “tmp.exe” by unpacking itself to the “C:\Users\admin\AppData\Local\Temp\” file path.,T1036.005
Registry Key Sets,T1112
transmits information as a zip file,T1041
sends this information to its C2 server,T1041
C2 is transmitted as a zip file during the POST request.,T1041
transferred to the C2 server as a zip file.,T1041
transfers them to the C2 address,T1041
"many obfuscated strings that are being covered by a random string, “edx765“, to evade detection.",T1027
"obfuscated information,",T1027
passes the obfuscated string to a function that strips the arbitrary string and delivers the original string,T1140
passes the obfuscated string to a function that strips the arbitrary string and delivers the original string.,T1027
"Making a ‘POST’ request,",T1071.001
multiple POST requests to the “c2/sock” address,T1071.001
accessed C2 while visiting port 80,T1071.001
they are instructed to click “Confirm” to view a message from “Express.”,T1204.002
"The user is also asked to permit push notifications in the browser,",T1204.002
"Once decrypted, the configuration file reveals several parameters,",T1140
Decryption exclusion list,T1140
decrypted using the RC4 algorithm with a hard-coded key in the resource.,T1140
send the decryption program,T1140
and decrypted,T1140
decrypted using the RC4 algorithm with a hardcoded key in the resource.,T1140
the hardcoded key to decrypt the configuration file.,T1140
to decrypt the configuration file.,T1140
Get configuration file and decrypt it,T1140
Decryptor download,T1140
The decryptor is delivered in a zip archive containing the decryptor executable,T1140
the decryptor to clean up their environment.,T1140
"At the end of the decryption process, the program indicates the number of decrypted files",T1140
Decryptor has finished the decryption process,T1140
Decryptor execution,T1140
"The decryptor program appears unique and is linked to one victim specifically. In our example, it only decrypts the files",T1140
"one to get information about the machine, such as the operating system version,",T1082
one to get processes,T1057
"reflective DLL loading, to inject a DLL from memory.",T1055
Use Windows API functions to inject DLL,T1055
a regular Bitmap (open matrix image format used by Windows) that can be used by malware to execute code or as a payload dropper,T1027
The image’s pixels are an actual binary representation of the payload.,T1027
This process can be summarized as Exe -> Resources -> BMP with embedded data in pixels fetched,T1027
The unpacked malware,T1027
the configuration file encrypted.,T1027
PowerShell Script uses Base64 and hexadecimal encoding and XOR-encryption,T1027
". The malware will try first to write in the registry-hive “HKEY_LOCAL_MACHINE” but if it cannot create it, it will use the registry-hive “HKEY_CURRENT_USER”:",T1112
Write in the registry,T1112
After the writing in the registry has been completed,T1112
write in the registry information,T1112
Create its own registry key in \SOFTWARE\<uniquename>,T1112
using the functions “SHGetFolderPathlW” and “CreateFileW”,T1106
with the function “WriteFile”.,T1106
Use Windows API functions,T1106
The batch script will delete the malware sample with its path using the command “del” and finally delete the bat file with the command “del %0%”.,T1070.004
the malware uses the “del” command,T1070.004
the malware tries to remove itself from the machine to avoid being detected and analyzed by security researchers,T1070.004
deletes the ransom note,T1070.004
The batch script,T1059.003
The download is done directly from the NetWalker Tor site,T1105
they will be able to download the decryptor,T1105
Place a value on RunOnce key,T1547.001
"performing password spray,",T1110
Activity from a password-spray associated IP address.,T1110
an IP address that had been identified as participating in password spray,T1110
credential stuffing attacks,T1110
is distributed through exposed Remote Desktop Protocol (RDP) setups,T1021.001
a heavy emphasis on Remote Desktop Protocols.,T1021.001
by brute-forcing them,T1110
"using other known vulnerabilities for initial access, i.e. vulnerabilities in Citrix gateway devices",T1190
"uses other tools to gather credentials that include Mimikatz, LaZagne, and NirSoft’s NetPass.",T1003.001
It uses bat files,T1059.003
A batch file to stop services,T1059.003
the stolen credentials are used to reach high-value machines like servers,T1078
WMIC /node,T1047
reg add HKLM\software\Microsoft\Windows\CurrentVersion\Policies\System,T1112
makes use of API GetTickCount / QueryPerformanceCounter,T1106
the help of ShellExecute API,T1106
delete itself from the target systems after infection,T1027
It also drops and installs,T1105
sets the following registry entry to open the downloaded PDF file every time the computer boots,T1547.001
HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run\iXqrVo,T1547.001
taking command line arguments,T1059.003
command line argument,T1059.003
to download and execute a remote “note.hta”:,T1105
to download another remote file,T1105
the download and execution,T1105
uses PowerShell to pull and run,T1105
downloading and executing,T1105
downloads and runs,T1105
downloads and executes,T1105
downloads and executes,T1105
downloads and executes,T1105
downloads and executes,T1105
downloads and executes,T1105
the download of wed.hta,T1105
"disables AMSI by hijacking the COM server, changing it from ""%windir%\system32\amsi.dll"" to ""C:\IDontExist.dll"".",T1562.001
performs the following actions to alter Windows Defender settings,T1562.001
Adds the following exclusions to Windows DefenderExtensions,T1562.001
Allows known Windows Defender Threat IDs to execute,T1562.001
Disables Windows Defender Attack Surface Reduction (ASR) rules,T1562.001
Disables the following Windows Defender features:Intrusion Prevention System IO AV Protection (does not scan downloaded files and attachments) Realtime monitoring Script scanning Controlled folder access protection PUA protection Scheduled scan,T1562.001
Sets Network Protection to audit mode in Windows Defender,T1562.001
Disables MAPS (Microsoft Active Protection Service) reporting,T1562.001
Allows severe/high/moderate/low-level threats to execute,T1562.001
"Disables the ""administrator in Admin Approval Mode"" user type (disables UAC prompts)",T1562.001
Stops the WinDefend service (Windows Defender),T1562.001
Disables the startup of the WinDefend service,T1562.001
Deletes the WinDefend service,T1562.001
Stops the Microsoft Defender Antivirus Network Inspection Service (WdNisSvc),T1562.001
designed to hamper Windows Defender,T1562.001
to fool potential victims into opening them.,T1204.002
users still need to manually mount them and run the fake PDFs to trigger the infection chain,T1204.002
Manually executing the lnk file triggers,T1204.002
Manual interactions are required,T1204.002
a lot of junk code,T1027
keylogging,T1056.001
taking screenshots,T1113
to load a binary into memory that injects,T1055
can modify group policy for privilege escalation and defense evasion,T1484.001
can modify group policy for privilege escalation and defense evasion.,T1484.001
Attempts to delete malicious batch files.,T1070.004
makes modifications to the Registry.,T1112
"adds a custom icon to the registry,",T1112
modifies the registry,T1112
creating a registry key HKCU\Control Panel\Desktop,T1112
Disables Windows Defender with batch scripts,T1562.001
with batch scripts,T1059.003
Uses batch scripts,T1059.003
the command line argument,T1059.003
uses Mimikatz to dump passwords.,T1003.001
Uses GetComputerName to query the computer name.,T1082
has used RDP for lateral movement.,T1021.001
has installed and used legitimate tools such as TeamViewer and AnyConnect on targeted systems.,T1219
"iterate through the entire file system,",T1083
Victims receive spear phishing emails with attached malicious zip files,T1566.001
encoded PowerShell scripts,T1027
scripts to download additional scripts.,T1105
Creates benign-looking services for the ransomware binary.,T1543.003
Creates benign-looking services for the ransomware binary.,T1543.003
Lists internal IP addresses,T1016
has installed and used PsExec to execute payloads on remote hosts.,T1569.002
Malicious actors typically gain entry to organizations’ Microsoft 365 environments by abusing either stolen account credentials,T1078
malicious actors behaving in predictable ways once they gain access to customer Microsoft 365 environment.,T1078
Actor signs in to a Microsoft 365 account from an endpoint,T1078
malicious actor signing in to a Microsoft 365 account,T1078
which the actor took after logging in to a user’s Microsoft 365 account,T1078
a malicious actor was observed signing in to a Microsoft 365 account,T1078
began with an actor signing into an internal user’s Microsoft 365 account from a VPN,T1078
a spoof of the legitimate ‘PerfectData’ software designed to masquerade a malicious application as legitimate,T1036.005
brute-force activity,T1110
The emails included an attachment named ‘Credit Transfer Copy.html’,T1566.001
"capable of modifying Windows UAC prompt, disabling Windows Defender notifications, disabling Task Manager, disabling command prompt, preventing users from accessing Windows registry tools, disabling the Run command, and modifying the display timeout",T1562.001
performing antivirus tampering,T1562.001
the script retrieves NSudo and modifies Windows UAC prompt behavior by allowing administrators to perform operations without authentication or consent prompts,T1562.001
"Disabling Windows Defender notifications, Disabling Task Manager, Disabling command prompt, Preventing users from accessing Windows registry tools, Disabling Run command, Modifying the display timeout",T1562.001
threat actor(s) made sure to add more paths and folders to Windows Defender exclusion including %TEMP% and C:\Windows\* as well as adding .ps1 (PowerShell) extension to the exclusion list.,T1562.001
"Disabling Windows Defender notifications, Task Manager and Command Prompt",T1562.001
recursively removes the implementation of Windows Defender IOfficeAntiVirus,T1562.001
It then adds the extensions such as exe and DLL as exclusions to Windows Defender.,T1562.001
performs the antivirus checks,T1518.001
The script checks the host against the list of antiviruses,T1518.001
antivirus check script,T1518.001
to download the malicious update.bat file from the C2 domain,T1105
has the capability of sending additional payloads to the hosts,T1105
pulling additional BatLoader payloads and scripts from C2,T1105
retrieves the same files from the C2,T1105
"executing scripts and commands retrieved from C2 such as ps1, bat, vbs, and exe",T1105
the script retrieves the Cobalt Strike payload,T1105
retrieves and executes the runanddelete.bat and scripttodo.ps1 scripts from the C2,T1105
then the full set of malware is retrieved from C2,T1105
retrieving malware from C2,T1105
The batch file was executed,T1059.003
the batch file to run,T1059.003
the batch file,T1059.003
The batch file,T1059.003
The batch script,T1059.003
cmd /C,T1059.003
cmd /c,T1059.003
cmd /c,T1059.003
the username,T1033
using the username,T1033
username,T1033
"obtains all entries within the IPs starting with 192., 10., and .172 in the ARP cache table",T1016
it then checks the amount of IPs found in the ARP table,T1016
ARP table,T1016
the GPG-encrypted files:,T1027
the encrypted data,T1027
the encrypted strings reside within the function,T1027
The data stored in the BSS section is encoded,T1027
the encoded data in the BSS section,T1027
on the API calls QueryPerformanceFrequency and QueryPerformanceCounter,T1106
from API call GetSystemTimeAsFileTime,T1106
using the API,T1106
The traffic beaconing contains the following pattern that will be encrypted with the AES key extracted from the compressed blob,T1573.001
the encrypted with AES-128 beacon,T1573.001
OS version and system type,T1082
computer name,T1082
computer name,T1082
screenshot,T1113
"then collects the credentials, host information, files,",T1005
Syncro RMM is a Remote Monitoring and Management tool used to control and manage devices remotely.,T1219
tool can be used as a persistence mechanism and remote accessing,T1219
Syncro RMM can also be used as a persistence mechanism,T1219
leverages SOCKS5,T1095
leverages SOCKS5 proxies to hide malicious traffic,T1090
task scheduling,T1053.005
it proceeds with scheduled task creation,T1053.005
run the scheduled task every 2 minutes is start.,T1053.005
the scheduled task,T1053.005
creates the registry key,T1112
creating the registry key,T1112
These words are used to build the registry value names.,T1112
recursively removes the implementation of Windows Defender IOfficeAntiVirus under HKLM:\SOFTWARE\Microsoft\AMSI\Providers\{2781761E-28E0-4109-99FE-B9D127C57AFE}.,T1112
enables the data transfer with URL syntax for protocols such as HTTP/HTTPS,T1071.001
runs it via rundll32.exe,T1218.011
injects itself into explorer.exe,T1055
injecting itself into a running explorer.exe process.,T1055
injecting itself into a running explorer.exe process,T1055
"The script performs process injection using the API such as OpenThread (to create a handle to an existing process), VirtualAlloc (memory allocation in the chosen process), and QueueUserAPC, the thread that the APC (Asynchronous Procedure Calls) is queued to has to enter an alertable state",T1055
"accessing browser credentials and cookies, Thunderbird and Outlook profiles",T1552.001
malware creates the persistence via Registry Run Keys.,T1547.001
creates a persistence via Registry Run Keys under HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run,T1547.001
it stores three embedded binaries within the unpacked payload.,T1027
the embedded compressed binaries,T1027
compressed binary,T1027
unpacked payload,T1027
The binaries are compressed using APLib compression algorithm.,T1027
The unpacked sample is approximately 540 KB,T1027
The unpacked sample is approximately 540 KB,T1027
decompress data blobs,T1140
decompress them,T1140
The decompression function,T1140
Decrypted strings,T1140
Decompiled decryption function,T1140
Decryption function in Python,T1140
The decryption function,T1140
The decryption function,T1140
Decryption function,T1140
the decryption function,T1140
APLib decompression function,T1140
decrypts them,T1140
"The decryption function is shown below, the decryption function can be represented as the following pseudocode:",T1140
The GPG decryption routine,T1140
GPG decryption,T1140
wmic,T1047
reg.exe query,T1012
that pulls the written data from the registry under HKEY_CURRENT_USER\Software\AppDataLow\Software\Microsoft\<registry_value>>,T1012
the Tor communication capability,T1090
Configured for WMI persistence,T1047
WMI Persistence,T1047
"As tasklist uses WMI “under the hood,",T1047
the malicious authentications into victim O365 tenants had originated from within the victim’s own network.,T1078
the threat actor was making authentications to O365,T1078
Log in to O365 as a user with privileged access to cloud resources.,T1078
the threat actor succeeded in authenticating into victim O365 tenants,T1078
This threat actor abused access to accounts in the Cloud Solution Partner’s environment with legitimate delegated administrative privileges to then gain access to several customers’ O365 environments,T1078
the threat actor connected to the victim’s O365 tenant,T1078
the user account used to connect to the victim’s O365 tenant,T1078
the threat actor managed to continue to access the victim’s cloud environment,T1078
the accounts that were used to authenticate to the cloud.,T1078
the threat actor used a compromised O365 administrator account,T1078
The threat actor created new O365 Service Principals to maintain access to victim’s environments,T1078
The threat actor used accounts with Delegated Administrator rights to access other O365 tenants,T1078
the threat actor leveraged different credentials for each step while moving laterally through the victim’s network,T1078
using privileged accounts and then accessed the wiki using a different set of credentials.,T1078
the threat actor began attempting to connect into the environment via VPN,T1078
The threat actor attempted to log in to the VPN using several user accounts,T1078
threat actor had knowledge of these accounts and used them on the correct systems,T1078
the threat actor connected into the victim’s environment via a VPN,T1078
The Threat actor also used valid accounts to create persistence within the environment,T1078
to establish a Remote Desktop Protocol (RDP) session to an internal server,T1021.001
establish another RDP session to a different internal server,T1021.001
the threat actor connected via RDP to a user’s workstation,T1021.001
the threat actor’s RDP session.,T1021.001
The threat actor established RDP sessions to internal servers,T1021.001
The threat actor connected via Remote Desktop,T1021.001
the user the threat actor used to RDP,T1021.001
the threat actor connected via Remote Desktop to a Domain Controller,T1021.001
"The threat actor used both privileged and non-privileged accounts for RDP throughout the environment, depending on the target system",T1021.001
using a domain service account.,T1078
using a domain administrator’s account.,T1078
the threat actor could have easily used a second domain administrator account,T1078
The threat actor accomplished this by using administrative accounts,T1078
a given user account was also authenticating to Active Directory from a given source IP address two years prior,T1078
the user account was known to have recently been abused by the threat actor,T1078
the threat actor accessing the wiki as users who would be considered “non-privileged”,T1078
A local account was used by the Threat Actor,T1078
"to connect via SMB to targeted users, and then copy their Chrome profile directories as well as data protection API (DPAPI) data.",T1570
the threat actor connected via Remote Desktop to a Domain Controller and copied the DSInternals10 PowerShell module to the system.,T1570
the threat actor must first decrypt them,T1140
they decrypted the cookies file using the user’s DPAPI key.,T1140
The decryption of the cookies,T1140
deleted the specific history items related to threat actor activity,T1070.004
Attempted to blend in with a file name that matched the system name it resided on,T1036.005
Attempted to blend in with a file name that matched the system name it resided on,T1036.005
With the binary named to masquerade as a legitimate file on the system,T1036.005
AdFind was renamed to masquerade as a legitimate Windows binary,T1036.005
"The threat actor renamed their utilities to masquerade as legitimate system binaries (AdFind as svchost.exe), match the system’s role (GoldMax), or appear legitimate (TrailBlazer as an apparent Adobe utility).",T1036.005
the threat actor renamed their systems prior to connecting to victim’s VPNs to match the victim’s system naming convention,T1036.005
Masquerades its command-and-control (C2) traffic as legitimate Google Notifications HTTP requests,T1071.001
directories with random names of a consistent length were navigated to by the same user that ran the tool.,T1083
ListUsers,T1033
The threat actor attempted to remotely list running processes on systems using tasklist.exe,T1057
process listing,T1057
This remote process listing,T1057
the threat actor was running tasklist remotely on these systems specifically to see which of the target systems was running Google Chrome.,T1057
The threat actor regularly interrogated other systems using tasklist.exe,T1057
the use of a PowerShell script to execute Mimikatz in-memory,T1003.001
to execute the Mimikatz commands ‘privilege::debug sekurlsa::logonpasswords “lsadump::lsa /patch”‘ in-memory,T1003.001
the script executed by the threat actor was heavily obfuscated and encrypted the output using AES256.,T1027
used a heavily obfuscated PowerShell script,T1027
enumerating current directory,T1083
tries to enumerate the current directory,T1083
crawl the filesystem,T1083
The decrypted payload,T1140
Decrypted payload,T1140
The decrypted payload,T1140
try to decrypt it using the RC4 encryption scheme with the key,T1140
then decrypts and communicates to,T1140
decodes the embedded shellcode,T1140
the encrypted payload,T1027
contain encrypted C2 strings,T1027
