"Time","No.","Source","Destination","Protocol","Length","Info"
"6.419853","47","142.251.10.101","192.168.232.2","TCP","690","80  >  55679 [PSH, ACK] Seq=12425 Ack=440 Win=8760 Len=636 [TCP segment of a reassembled PDU]"
"6.420136","48","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=13061 Win=65535 Len=0"
"6.496599","49","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=13061 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.496850","50","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=14367 Win=65535 Len=0"
"6.496652","51","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=14367 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.496943","52","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=15673 Win=65535 Len=0"
"6.513662","53","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=15673 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.513857","54","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=16979 Win=65535 Len=0"
"6.513699","55","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=16979 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.513962","56","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=18285 Win=65535 Len=0"
"6.514002","57","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=18285 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.514039","58","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=19591 Win=65535 Len=0"
"6.514007","59","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=19591 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.514081","60","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=20897 Win=65535 Len=0"
"6.535574","61","142.251.10.101","192.168.232.2","TCP","1494","80  >  55679 [ACK] Seq=20897 Ack=440 Win=8760 Len=1440 [TCP segment of a reassembled PDU]"
"6.535644","62","142.251.10.101","192.168.232.2","TCP","1226","80  >  55679 [PSH, ACK] Seq=22337 Ack=440 Win=8760 Len=1172 [TCP segment of a reassembled PDU]"
"6.535650","63","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=23509 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.536084","64","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=24815 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.537000","65","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=26121 Win=65300 Len=0"
"6.537454","66","142.251.10.101","192.168.232.2","TCP","1494","80  >  55679 [ACK] Seq=26121 Ack=440 Win=8760 Len=1440 [TCP segment of a reassembled PDU]"
"6.537493","67","142.251.10.101","192.168.232.2","TCP","1494","80  >  55679 [ACK] Seq=27561 Ack=440 Win=8760 Len=1440 [TCP segment of a reassembled PDU]"
"6.537654","68","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=29001 Win=65300 Len=0"
"6.537499","69","142.251.10.101","192.168.232.2","TCP","1494","80  >  55679 [ACK] Seq=29001 Ack=440 Win=8760 Len=1440 [TCP segment of a reassembled PDU]"
"6.537504","70","142.251.10.101","192.168.232.2","TCP","1494","80  >  55679 [ACK] Seq=30441 Ack=440 Win=8760 Len=1440 [TCP segment of a reassembled PDU]"
"6.537735","71","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=31881 Win=65300 Len=0"
"6.537508","72","142.251.10.101","192.168.232.2","TCP","824","80  >  55679 [PSH, ACK] Seq=31881 Ack=440 Win=8760 Len=770 [TCP segment of a reassembled PDU]"
"6.538776","73","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=32651 Win=65300 Len=0"
"6.539102","74","142.251.10.101","192.168.232.2","TCP","1494","80  >  55679 [ACK] Seq=32651 Ack=440 Win=8760 Len=1440 [TCP segment of a reassembled PDU]"
"6.539134","75","142.251.10.101","192.168.232.2","TCP","1226","80  >  55679 [PSH, ACK] Seq=34091 Ack=440 Win=8760 Len=1172 [TCP segment of a reassembled PDU]"
"6.539300","76","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=35263 Win=65300 Len=0"
"6.542240","77","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=35263 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.542857","78","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=36569 Win=65300 Len=0"
"6.545795","79","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=36569 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.555503","80","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=37875 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.556034","81","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=39181 Win=65300 Len=0"
"6.577997","82","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=39181 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.578044","83","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=40487 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.578261","84","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=41793 Win=65300 Len=0"
"6.579983","85","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=41793 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.580234","86","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=43099 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.580297","87","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=44405 Win=65300 Len=0"
"6.608471","88","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=44405 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.608930","89","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=45711 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.609085","90","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=47017 Win=65300 Len=0"
"6.611770","91","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=47017 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.612265","92","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=48323 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.612396","93","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=49629 Win=65300 Len=0"
"6.612279","94","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=49629 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.612464","95","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=50935 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.612499","96","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=52241 Win=65300 Len=0"
"6.648659","97","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=52241 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.649015","98","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=53547 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.649097","99","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=54853 Win=65300 Len=0"
"6.651700","100","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=54853 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.652546","101","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=56159 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.652747","102","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=57465 Win=65300 Len=0"
"6.662278","103","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=57465 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.662308","104","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=58771 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.662509","105","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=60077 Win=65300 Len=0"
"6.662586","106","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=60077 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.662654","107","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=61383 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.662692","108","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=62689 Win=65300 Len=0"
"6.665987","109","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=62689 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.666211","110","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=63995 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.666268","111","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=65301 Win=65300 Len=0"
"6.666370","112","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=65301 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.669856","113","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=66607 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.670158","114","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=67913 Win=65300 Len=0"
"6.669893","115","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=67913 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.670300","116","142.251.10.101","192.168.232.2","HTTP","364","HTTP/1.1 200 OK  (text/javascript)"
"6.670354","117","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=69529 Win=65300 Len=0"
"6.923541","118","192.168.232.2","142.251.10.101","HTTP","493","GET /sdk-core-v40.js HTTP/1.1 "
"6.924007","119","142.251.10.101","192.168.232.2","TCP","54","80  >  55679 [ACK] Seq=69529 Ack=879 Win=8760 Len=0"
"7.051580","120","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=69529 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.051805","121","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=70835 Win=65300 Len=0"
"7.051865","122","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=70835 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.051920","123","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=72141 Win=65300 Len=0"
"7.055031","124","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=72141 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.055561","125","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=73447 Win=65300 Len=0"
"7.055076","126","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=73447 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.055834","127","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=74753 Win=65300 Len=0"
"7.056012","128","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=74753 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.056242","129","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=76059 Win=65300 Len=0"
"7.067148","130","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=76059 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.067330","131","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=77365 Win=65300 Len=0"
"7.069083","132","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=77365 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.069218","133","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=78671 Win=65300 Len=0"
"7.069257","134","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=78671 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.069290","135","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=79977 Win=65300 Len=0"
"7.069477","136","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=79977 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.069535","137","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=81283 Win=65300 Len=0"
"7.069622","138","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=81283 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.069664","139","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=82589 Win=65300 Len=0"
"7.069785","140","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=82589 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.069830","141","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=83895 Win=65300 Len=0"
"7.069941","142","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=83895 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.069987","143","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=85201 Win=65300 Len=0"
"7.070097","144","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=85201 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.070145","145","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=86507 Win=65300 Len=0"
"7.070251","146","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=86507 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.070302","147","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=87813 Win=65300 Len=0"
"7.070507","148","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=87813 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.070570","149","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=89119 Win=65300 Len=0"
"7.070677","150","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=89119 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.070763","151","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=90425 Win=65300 Len=0"
"7.070827","152","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=90425 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.071134","153","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=91731 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.071275","154","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=93037 Win=65300 Len=0"
"7.071165","155","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=93037 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.071399","156","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=94343 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.071432","157","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=95649 Win=65300 Len=0"
"7.091390","158","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=95649 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.091434","159","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=96955 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.091694","160","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=98261 Win=65300 Len=0"
"7.096994","161","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=98261 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.097116","162","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=99567 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.097600","163","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=100873 Win=65300 Len=0"
"7.097140","164","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=100873 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.097686","165","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=102179 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"7.097732","166","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=103485 Win=65300 Len=0"
"7.098061","167","142.251.10.101","192.168.232.2","TCP","1494","80  >  55679 [ACK] Seq=103485 Ack=879 Win=8760 Len=1440 [TCP segment of a reassembled PDU]"
"7.098085","168","142.251.10.101","192.168.232.2","TCP","1494","80  >  55679 [ACK] Seq=104925 Ack=879 Win=8760 Len=1440 [TCP segment of a reassembled PDU]"
"7.098276","169","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=106365 Win=65300 Len=0"
"7.098090","170","142.251.10.101","192.168.232.2","TCP","1494","80  >  55679 [ACK] Seq=106365 Ack=879 Win=8760 Len=1440 [TCP segment of a reassembled PDU]"
"7.098095","171","142.251.10.101","192.168.232.2","TCP","958","80  >  55679 [PSH, ACK] Seq=107805 Ack=879 Win=8760 Len=904 [TCP segment of a reassembled PDU]"
"7.098366","172","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=108709 Win=65300 Len=0"
"7.098667","173","142.251.10.101","192.168.232.2","TCP","1494","80  >  55679 [ACK] Seq=108709 Ack=879 Win=8760 Len=1440 [TCP segment of a reassembled PDU]"
"7.098683","174","142.251.10.101","192.168.232.2","TCP","1494","80  >  55679 [ACK] Seq=110149 Ack=879 Win=8760 Len=1440 [TCP segment of a reassembled PDU]"
"7.098780","175","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=111589 Win=65300 Len=0"
"7.098687","176","142.251.10.101","192.168.232.2","TCP","1494","80  >  55679 [ACK] Seq=111589 Ack=879 Win=8760 Len=1440 [TCP segment of a reassembled PDU]"
"7.098692","177","142.251.10.101","192.168.232.2","TCP","958","80  >  55679 [PSH, ACK] Seq=113029 Ack=879 Win=8760 Len=904 [TCP segment of a reassembled PDU]"
"7.098853","178","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=879 Ack=113933 Win=65300 Len=0"
"7.099076","179","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=113933 Ack=879 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
